patient_amka,first_name,last_name,phone_number,email
30000000002,Sofia,Papadopoulos,2171401401,sofia.papadopoulos2029@contact.example
30000000002,Evangelia,Konstantinou,2139325012,evangelia.konstantinou4545@contact.example
30000000003,Maria,Petrou,2192712566,maria.petrou3511@contact.example
30000000003,Eleni,Dimitriou,2161517182,eleni.dimitriou8124@contact.example
30000000004,Vasiliki,Petrou,2120716781,vasiliki.petrou1954@contact.example
30000000005,Ioanna,Konstantinou,2194657967,ioanna.konstantinou8380@contact.example
30000000005,Spyros,Georgiou,2171147732,spyros.georgiou487@contact.example
30000000006,Maria,Pavlidis,2148588006,maria.pavlidis1952@contact.example
30000000007,Vasiliki,Pavlidis,2197782806,vasiliki.pavlidis4316@contact.example
30000000007,Maria,Konstantinou,2169545009,maria.konstantinou740@contact.example
30000000008,Dimitris,Alexiou,2114152085,dimitris.alexiou613@contact.example
30000000008,Christos,Athanasiou,2169864079,christos.athanasiou365@contact.example
30000000011,Anna,Theodorou,2174896908,anna.theodorou3288@contact.example
30000000011,Stavros,Kostopoulos,2123246651,stavros.kostopoulos3336@contact.example
30000000012,Panagiota,Alexiou,2103242044,panagiota.alexiou9023@contact.example
30000000013,Evangelia,Nikolaou,2189847139,evangelia.nikolaou2004@contact.example
30000000013,Ioanna,Sotiriou,2155963632,ioanna.sotiriou1751@contact.example
30000000014,Anna,Vasiliou,2109003486,anna.vasiliou5068@contact.example
30000000015,Michalis,Sotiriou,2104177656,michalis.sotiriou1645@contact.example
30000000015,Anna,Georgiou,2148156985,anna.georgiou7427@contact.example
30000000016,Ioanna,Georgiou,2196577242,ioanna.georgiou9717@contact.example
30000000016,Anna,Petrou,2143165266,anna.petrou9346@contact.example
30000000017,Panagiotis,Konstantinou,2110867713,panagiotis.konstantinou3329@contact.example
30000000021,Andreas,Alexiou,2149485625,andreas.alexiou8050@contact.example
30000000022,Maria,Kostopoulos,2171215134,maria.kostopoulos2960@contact.example
30000000022,Anna,Georgiou,2184993908,anna.georgiou9352@contact.example
30000000023,Vasiliki,Kostopoulos,2174905097,vasiliki.kostopoulos5324@contact.example
30000000023,Dimitra,Theodorou,2192304501,dimitra.theodorou8965@contact.example
30000000024,Despoina,Alexiou,2149251583,despoina.alexiou8022@contact.example
