amka,first_name,last_name,age,email,phone_number,hiring_date,personnel_type
10000000000,Giorgos,Theodorou,54,giorgos.theodorou1@yg-eupolis.gr,6918196001,2014-11-27,DOCTOR
10000000001,Spyros,Konstantinou,49,spyros.konstantinou2@yg-eupolis.gr,6963794026,2017-08-19,DOCTOR
10000000002,Katerina,Dimitriou,46,katerina.dimitriou3@yg-eupolis.gr,6961559407,2022-01-10,DOCTOR
10000000003,Christos,Ioannou,49,christos.ioannou4@yg-eupolis.gr,6993103413,2012-04-07,DOCTOR
10000000004,Georgia,Kostopoulos,38,georgia.kostopoulos5@yg-eupolis.gr,6955341928,2015-06-29,DOCTOR
10000000005,Petros,Ioannou,44,petros.ioannou6@yg-eupolis.gr,6935030564,2011-06-27,DOCTOR
10000000006,Christos,Konstantinou,36,christos.konstantinou7@yg-eupolis.gr,6967242388,2015-11-23,DOCTOR
10000000007,Evangelia,Konstantinou,29,evangelia.konstantinou8@yg-eupolis.gr,6987101226,2023-05-18,DOCTOR
10000000008,Vasilis,Ioannou,31,vasilis.ioannou9@yg-eupolis.gr,6980184514,2019-10-02,DOCTOR
10000000009,Dimitris,Petrou,62,dimitris.petrou10@yg-eupolis.gr,6909570154,2015-05-16,DOCTOR
10000000010,Kostas,Alexiou,42,kostas.alexiou11@yg-eupolis.gr,6918227824,2021-11-01,DOCTOR
10000000011,Sofia,Alexiou,53,sofia.alexiou12@yg-eupolis.gr,6946578713,2015-01-15,DOCTOR
10000000012,Panagiotis,Papadopoulos,49,panagiotis.papadopoulos13@yg-eupolis.gr,6901031051,2021-07-13,DOCTOR
10000000013,Giannis,Athanasiou,41,giannis.athanasiou14@yg-eupolis.gr,6999737631,2012-03-05,DOCTOR
10000000014,Panagiota,Ioannou,46,panagiota.ioannou15@yg-eupolis.gr,6910651333,2022-01-11,DOCTOR
10000000015,Katerina,Ioannou,40,katerina.ioannou16@yg-eupolis.gr,6917810801,2015-04-21,DOCTOR
10000000016,Vasilis,Kostopoulos,33,vasilis.kostopoulos17@yg-eupolis.gr,6902606474,2019-06-28,DOCTOR
10000000017,Katerina,Dimitriou,35,katerina.dimitriou18@yg-eupolis.gr,6905009788,2013-07-13,DOCTOR
10000000018,Evangelia,Vasiliou,53,evangelia.vasiliou19@yg-eupolis.gr,6934624751,2010-03-18,DOCTOR
10000000019,Ioanna,Konstantinou,42,ioanna.konstantinou20@yg-eupolis.gr,6984251354,2013-07-16,DOCTOR
10000000020,Chrysoula,Pavlidis,45,chrysoula.pavlidis21@yg-eupolis.gr,6908412411,2022-05-30,DOCTOR
10000000021,Giannis,Vasiliou,44,giannis.vasiliou22@yg-eupolis.gr,6934874016,2016-03-16,DOCTOR
10000000022,Giorgos,Petrou,43,giorgos.petrou23@yg-eupolis.gr,6927868011,2013-05-06,DOCTOR
10000000023,Michalis,Petrou,35,michalis.petrou24@yg-eupolis.gr,6920450533,2024-12-16,DOCTOR
10000000024,Panagiotis,Sotiriou,39,panagiotis.sotiriou25@yg-eupolis.gr,6932260256,2025-01-09,DOCTOR
10000000025,Giannis,Georgiou,33,giannis.georgiou26@yg-eupolis.gr,6907337543,2015-01-01,DOCTOR
10000000026,Marios,Dimitriou,28,marios.dimitriou27@yg-eupolis.gr,6945868501,2015-11-10,DOCTOR
10000000027,Spyros,Alexiou,62,spyros.alexiou28@yg-eupolis.gr,6956159514,2021-05-17,DOCTOR
10000000028,Despoina,Ioannou,47,despoina.ioannou29@yg-eupolis.gr,6982366299,2016-10-01,DOCTOR
