+------------+--------------+-------------+----------------+
| first_name | last_name    | amka        | personnel_type |
+------------+--------------+-------------+----------------+
| Giorgos    | Theodorou    | 10000000000 | DOCTOR         |
| Spyros     | Konstantinou | 10000000001 | DOCTOR         |
| Katerina   | Dimitriou    | 10000000002 | DOCTOR         |
| Christos   | Ioannou      | 10000000003 | DOCTOR         |
| Georgia    | Kostopoulos  | 10000000004 | DOCTOR         |
| Petros     | Ioannou      | 10000000005 | DOCTOR         |
| Christos   | Konstantinou | 10000000006 | DOCTOR         |
| Evangelia  | Konstantinou | 10000000007 | DOCTOR         |
| Vasilis    | Ioannou      | 10000000008 | DOCTOR         |
| Petros     | Papadopoulos | 10000000009 | DOCTOR         |
| Spyros     | Sotiriou     | 10000000010 | DOCTOR         |
| Nikos      | Theodorou    | 10000000011 | DOCTOR         |
| Christos   | Pavlidis     | 10000000012 | DOCTOR         |
| Panagiotis | Papadopoulos | 10000000013 | DOCTOR         |
| Giannis    | Athanasiou   | 10000000014 | DOCTOR         |
| Panagiota  | Ioannou      | 10000000015 | DOCTOR         |
| Katerina   | Ioannou      | 10000000016 | DOCTOR         |
| Vasilis    | Kostopoulos  | 10000000017 | DOCTOR         |
| Katerina   | Dimitriou    | 10000000018 | DOCTOR         |
| Spyros     | Nikolaou     | 10000000019 | DOCTOR         |
| Vasilis    | Athanasiou   | 10000000020 | DOCTOR         |
| Evangelia  | Sotiriou     | 10000000021 | DOCTOR         |
| Georgia    | Georgiou     | 10000000022 | DOCTOR         |
| Stavros    | Pavlidis     | 10000000023 | DOCTOR         |
| Chrysoula  | Vasiliou     | 10000000024 | DOCTOR         |
| Spyros     | Papadopoulos | 10000000025 | DOCTOR         |
| Marios     | Nikolaou     | 10000000026 | DOCTOR         |
| Natalia    | Athanasiou   | 10000000027 | DOCTOR         |
| Ioanna     | Petrou       | 10000000028 | DOCTOR         |
| Despoina   | Ioannou      | 10000000029 | DOCTOR         |
| Anastasia  | Kostopoulos  | 10000000030 | DOCTOR         |
| Sofia      | Sotiriou     | 10000000031 | DOCTOR         |
| Vasiliki   | Dimitriou    | 10000000032 | DOCTOR         |
| Petros     | Georgiou     | 10000000033 | DOCTOR         |
| Stavros    | Lazarou      | 10000000034 | DOCTOR         |
| Panagiota  | Petrou       | 10000000035 | DOCTOR         |
| Vasiliki   | Papadopoulos | 10000000036 | DOCTOR         |
| Dimitra    | Theodorou    | 10000000037 | DOCTOR         |
| Anna       | Georgiou     | 10000000038 | DOCTOR         |
| Giorgos    | Vasiliou     | 10000000039 | DOCTOR         |
| Panagiotis | Dimitriou    | 10000000040 | DOCTOR         |
| Andreas    | Dimitriou    | 10000000041 | DOCTOR         |
