+---------------------+------------+--------------+--------------+-----------------+-----------------------+----------------------+-----------------+-------+
| initial_doctor_amka | first_name | last_name    | doctor_rank  | supervisor_amka | supervisor_first_name | supervisor_last_name | supervisor_rank | level |
+---------------------+------------+--------------+--------------+-----------------+-----------------------+----------------------+-----------------+-------+
| 10000000001         | Spyros     | Konstantinou | CONSULTANT_A | 10000000000     | Giorgos               | Theodorou            | DIRECTOR        |     1 |
| 10000000002         | Katerina   | Dimitriou    | CONSULTANT_A | 10000000000     | Giorgos               | Theodorou            | DIRECTOR        |     1 |
| 10000000003         | Christos   | Ioannou      | CONSULTANT_A | 10000000000     | Giorgos               | Theodorou            | DIRECTOR        |     1 |
| 10000000004         | Georgia    | Kostopoulos  | CONSULTANT_A | 10000000000     | Giorgos               | Theodorou            | DIRECTOR        |     1 |
| 10000000005         | Petros     | Ioannou      | CONSULTANT_A | 10000000000     | Giorgos               | Theodorou            | DIRECTOR        |     1 |
| 10000000006         | Christos   | Konstantinou | CONSULTANT_A | 10000000000     | Giorgos               | Theodorou            | DIRECTOR        |     1 |
| 10000000007         | Evangelia  | Konstantinou | CONSULTANT_A | 10000000000     | Giorgos               | Theodorou            | DIRECTOR        |     1 |
| 10000000008         | Vasilis    | Ioannou      | CONSULTANT_A | 10000000000     | Giorgos               | Theodorou            | DIRECTOR        |     1 |
| 10000000009         | Petros     | Papadopoulos | CONSULTANT_B | 10000000005     | Petros                | Ioannou              | CONSULTANT_A    |     1 |
| 10000000009         | Petros     | Ioannou      | CONSULTANT_A | 10000000000     | Giorgos               | Theodorou            | DIRECTOR        |     2 |
| 10000000010         | Spyros     | Sotiriou     | CONSULTANT_B | 10000000000     | Giorgos               | Theodorou            | DIRECTOR        |     1 |
| 10000000011         | Nikos      | Theodorou    | CONSULTANT_B | 10000000000     | Giorgos               | Theodorou            | DIRECTOR        |     1 |
| 10000000012         | Christos   | Pavlidis     | CONSULTANT_B | 10000000001     | Spyros                | Konstantinou         | CONSULTANT_A    |     1 |
| 10000000012         | Spyros     | Konstantinou | CONSULTANT_A | 10000000000     | Giorgos               | Theodorou            | DIRECTOR        |     2 |
| 10000000013         | Panagiotis | Papadopoulos | CONSULTANT_B | 10000000003     | Christos              | Ioannou              | CONSULTANT_A    |     1 |
| 10000000013         | Christos   | Ioannou      | CONSULTANT_A | 10000000000     | Giorgos               | Theodorou            | DIRECTOR        |     2 |
| 10000000014         | Giannis    | Athanasiou   | CONSULTANT_B | 10000000005     | Petros                | Ioannou              | CONSULTANT_A    |     1 |
| 10000000014         | Petros     | Ioannou      | CONSULTANT_A | 10000000000     | Giorgos               | Theodorou            | DIRECTOR        |     2 |
| 10000000015         | Panagiota  | Ioannou      | CONSULTANT_B | 10000000007     | Evangelia             | Konstantinou         | CONSULTANT_A    |     1 |
| 10000000015         | Evangelia  | Konstantinou | CONSULTANT_A | 10000000000     | Giorgos               | Theodorou            | DIRECTOR        |     2 |
| 10000000016         | Katerina   | Ioannou      | CONSULTANT_B | 10000000006     | Christos              | Konstantinou         | CONSULTANT_A    |     1 |
| 10000000016         | Christos   | Konstantinou | CONSULTANT_A | 10000000000     | Giorgos               | Theodorou            | DIRECTOR        |     2 |
| 10000000017         | Vasilis    | Kostopoulos  | RESIDENT     | 10000000004     | Georgia               | Kostopoulos          | CONSULTANT_A    |     1 |
| 10000000017         | Georgia    | Kostopoulos  | CONSULTANT_A | 10000000000     | Giorgos               | Theodorou            | DIRECTOR        |     2 |
| 10000000018         | Katerina   | Dimitriou    | RESIDENT     | 10000000013     | Panagiotis            | Papadopoulos         | CONSULTANT_B    |     1 |
| 10000000018         | Panagiotis | Papadopoulos | CONSULTANT_B | 10000000003     | Christos              | Ioannou              | CONSULTANT_A    |     2 |
| 10000000018         | Christos   | Ioannou      | CONSULTANT_A | 10000000000     | Giorgos               | Theodorou            | DIRECTOR        |     3 |
| 10000000019         | Spyros     | Nikolaou     | RESIDENT     | 10000000007     | Evangelia             | Konstantinou         | CONSULTANT_A    |     1 |
| 10000000019         | Evangelia  | Konstantinou | CONSULTANT_A | 10000000000     | Giorgos               | Theodorou            | DIRECTOR        |     2 |
| 10000000020         | Vasilis    | Athanasiou   | RESIDENT     | 10000000009     | Petros                | Papadopoulos         | CONSULTANT_B    |     1 |
| 10000000020         | Petros     | Papadopoulos | CONSULTANT_B | 10000000005     | Petros                | Ioannou              | CONSULTANT_A    |     2 |
| 10000000020         | Petros     | Ioannou      | CONSULTANT_A | 10000000000     | Giorgos               | Theodorou            | DIRECTOR        |     3 |
| 10000000021         | Evangelia  | Sotiriou     | RESIDENT     | 10000000002     | Katerina              | Dimitriou            | CONSULTANT_A    |     1 |
| 10000000021         | Katerina   | Dimitriou    | CONSULTANT_A | 10000000000     | Giorgos               | Theodorou            | DIRECTOR        |     2 |
| 10000000022         | Georgia    | Georgiou     | RESIDENT     | 10000000014     | Giannis               | Athanasiou           | CONSULTANT_B    |     1 |
| 10000000022         | Giannis    | Athanasiou   | CONSULTANT_B | 10000000005     | Petros                | Ioannou              | CONSULTANT_A    |     2 |
| 10000000022         | Petros     | Ioannou      | CONSULTANT_A | 10000000000     | Giorgos               | Theodorou            | DIRECTOR        |     3 |
| 10000000023         | Stavros    | Pavlidis     | RESIDENT     | 10000000001     | Spyros                | Konstantinou         | CONSULTANT_A    |     1 |
| 10000000023         | Spyros     | Konstantinou | CONSULTANT_A | 10000000000     | Giorgos               | Theodorou            | DIRECTOR        |     2 |
| 10000000024         | Chrysoula  | Vasiliou     | RESIDENT     | 10000000007     | Evangelia             | Konstantinou         | CONSULTANT_A    |     1 |
| 10000000024         | Evangelia  | Konstantinou | CONSULTANT_A | 10000000000     | Giorgos               | Theodorou            | DIRECTOR        |     2 |
| 10000000025         | Spyros     | Papadopoulos | RESIDENT     | 10000000012     | Christos              | Pavlidis             | CONSULTANT_B    |     1 |
| 10000000025         | Christos   | Pavlidis     | CONSULTANT_B | 10000000001     | Spyros                | Konstantinou         | CONSULTANT_A    |     2 |
| 10000000025         | Spyros     | Konstantinou | CONSULTANT_A | 10000000000     | Giorgos               | Theodorou            | DIRECTOR        |     3 |
| 10000000026         | Marios     | Nikolaou     | RESIDENT     | 10000000014     | Giannis               | Athanasiou           | CONSULTANT_B    |     1 |
| 10000000026         | Giannis    | Athanasiou   | CONSULTANT_B | 10000000005     | Petros                | Ioannou              | CONSULTANT_A    |     2 |
| 10000000026         | Petros     | Ioannou      | CONSULTANT_A | 10000000000     | Giorgos               | Theodorou            | DIRECTOR        |     3 |
| 10000000027         | Natalia    | Athanasiou   | RESIDENT     | 10000000003     | Christos              | Ioannou              | CONSULTANT_A    |     1 |
| 10000000027         | Christos   | Ioannou      | CONSULTANT_A | 10000000000     | Giorgos               | Theodorou            | DIRECTOR        |     2 |
| 10000000029         | Despoina   | Ioannou      | CONSULTANT_A | 10000000028     | Ioanna                | Petrou               | DIRECTOR        |     1 |
| 10000000030         | Anastasia  | Kostopoulos  | CONSULTANT_A | 10000000028     | Ioanna                | Petrou               | DIRECTOR        |     1 |
| 10000000031         | Sofia      | Sotiriou     | CONSULTANT_A | 10000000028     | Ioanna                | Petrou               | DIRECTOR        |     1 |
